Year,Month,Day,Hours,Minutes,Seconds,Delta T (s),Lunation Number,Saros Number,Eclipse Type,Gamma,Penumbral Magnitude,Umbral Magnitude,Latitude,Longitude,Penumbral Eclipse Duration (m)
0103,1,11,7,3,37,9523,-23463,84,1,1.4206,0.3031,-0.7996,23,-63,168.4
0103,6,8,4,21,27,9519,-23458,51,1,1.1408,0.7476,-0.2185,-22,-27,221.8
0103,7,7,11,49,0,9519,-23457,89,1,-1.3844,0.2925,-0.6578,-25,-137,141.9
0103,12,1,15,25,15,9515,-23452,56,5,-0.8856,1.257,0.2091,21,167,291
0104,5,27,15,49,27,9510,-23446,61,6,0.4092,2.1168,1.0976,-21,161,339.3
0104,11,20,2,6,11,9505,-23440,66,7,-0.1616,2.5579,1.565,20,5,326.8
0105,5,16,20,3,52,9501,-23434,71,6,-0.37,2.211,1.1477,-19,97,361.4
0105,11,9,17,17,35,9496,-23428,76,5,0.5072,1.9121,0.9421,17,137,301.8
0106,5,5,20,37,37,9492,-23422,81,1,-1.1249,0.8263,-0.2381,-17,88,260.3
0106,9,30,20,29,48,9488,-23417,48,1,-1.5395,0.0398,-0.9737,1,91,56.6
0106,10,30,8,22,39,9487,-23416,86,1,1.1964,0.659,-0.334,15,-90,210.6
0107,3,26,13,51,50,9483,-23411,53,5,0.8794,1.2445,0.2441,-1,-166,280.3
0107,9,20,3,34,19,9478,-23405,58,5,-0.8908,1.2568,0.1906,-3,-15,301.3
0108,3,15,3,50,7,9474,-23399,63,8,0.1205,2.6167,1.6568,3,-15,320.2
0108,9,8,4,20,54,9469,-23393,68,7,-0.1859,2.5618,1.4727,-7,-26,374.7
0109,3,4,20,24,13,9464,-23387,73,5,-0.5863,1.7614,0.8025,6,97,295.9
0109,8,28,5,7,4,9460,-23381,78,5,0.5383,1.9011,0.8399,-10,-38,343.4
0110,1,23,22,15,49,9456,-23376,45,1,1.434,0.246,-0.7925,21,70,141.8
0110,2,22,10,53,24,9455,-23375,83,1,-1.3321,0.4139,-0.5866,10,-120,174.4
0110,7,19,2,46,36,9451,-23370,50,1,-1.384,0.3034,-0.6669,-23,-1,147.6
0110,8,17,12,21,4,9450,-23369,88,1,1.2387,0.5866,-0.4167,-13,-146,206.6
0111,1,13,2,17,53,9447,-23364,55,5,0.7865,1.4607,0.3695,23,8,324.2
0111,7,8,19,1,45,9442,-23358,60,5,-0.629,1.6747,0.7323,-24,114,289.6
